5441790,2008,1,7,12,1,22,2008-01-07 12:01:22.000,2052,12825,,SQL001DBHost,MYDB,casjobs,9.3000002E-2,0,99999999,2015032,1,1,1,1,1
5444274,2008,1,8,5,1,32,2008-01-08 05:01:32.000,2052,12825,,SQL001DBHost,MyDB,casjobs,1.6000001E-2,0,1,2015895,0,1,1,1,1
5444275,2008,1,8,5,1,50,2008-01-08 05:01:50.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.046,0,1,2015895,0,1,1,1,1
5444276,2008,1,8,5,1,13,2008-01-08 05:01:13.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2015895,0,1,1,1,1
5444277,2008,1,8,5,1,6,2008-01-08 05:01:06.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2015895,0,1,1,1,1
5444364,2008,1,8,7,1,18,2008-01-08 07:01:18.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2015895,0,1,1,1,1
5444365,2008,1,8,7,1,18,2008-01-08 07:01:18.000,2052,12825,,SQL001DBHost,MyDB,casjobs,1.6000001E-2,0,1,2015895,0,1,1,1,1
5444366,2008,1,8,7,1,4,2008-01-08 07:01:04.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2015895,0,1,1,1,1
5444367,2008,1,8,7,1,30,2008-01-08 07:01:30.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2015895,0,1,1,1,1
5444368,2008,1,8,7,1,54,2008-01-08 07:01:54.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.013,0,1,2015895,0,1,1,1,1
5444369,2008,1,8,7,1,47,2008-01-08 07:01:47.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2015895,0,1,1,1,1
5444370,2008,1,8,7,1,34,2008-01-08 07:01:34.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2015895,0,1,1,1,1
5444371,2008,1,8,7,1,22,2008-01-08 07:01:22.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.046,0,1,2015895,0,1,1,1,1
5444372,2008,1,8,7,1,13,2008-01-08 07:01:13.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2015895,0,1,1,1,1
5444373,2008,1,8,7,1,28,2008-01-08 07:01:28.000,2052,12825,,SQL001DBHost,MyDB,casjobs,1.6000001E-2,0,1,2015895,0,1,1,1,1
5444374,2008,1,8,7,1,38,2008-01-08 07:01:38.000,2052,12825,,SQL001DBHost,MyDB,casjobs,1.6000001E-2,0,1,2015895,0,1,1,1,1
5444375,2008,1,8,7,1,55,2008-01-08 07:01:55.000,2052,12825,,SQL001DBHost,MyDB,casjobs,1.6000001E-2,0,1,2015895,0,1,1,1,1
5444376,2008,1,8,7,1,41,2008-01-08 07:01:41.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2015895,0,1,1,1,1
5449477,2008,1,8,5,1,30,2008-01-08 05:01:30.000,2052,12825,,DR6,BestDR6,casjobs,1.6000001E-2,0,1,2017168,0,1,1,1,1
5457117,2008,1,8,5,1,30,2008-01-08 05:01:30.000,2052,12825,,DR6,BestDR6,casjobs,5.9999999E-2,0,1,2273750,0,1,1,1,1
5457177,2008,1,8,5,1,25,2008-01-08 05:01:25.000,2052,12825,,DR6,BestDR6,casjobs,1.6000001E-2,0,1,2273860,0,1,1,1,1
5457178,2008,1,8,5,1,35,2008-01-08 05:01:35.000,2052,12825,,DR6,BestDR6,casjobs,6.3000001E-2,0,1,2273860,0,1,1,1,1
5457393,2008,2,14,8,2,7,2008-02-14 08:02:07.000,2052,12825,,DR6,BestDR6,casjobs,0.046,0,1,2273869,0,1,1,1,1
5459877,2008,1,8,5,1,55,2008-01-08 05:01:55.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2019064,0,1,1,1,1
5459878,2008,1,8,5,1,31,2008-01-08 05:01:31.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.013,0,1,2019064,0,1,1,1,1
5459879,2008,1,8,5,1,52,2008-01-08 05:01:52.000,2052,12825,,SQL001DBHost,MyDB,casjobs,1.6000001E-2,0,1,2019064,0,1,1,1,1
5459880,2008,1,8,5,1,34,2008-01-08 05:01:34.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2019064,0,1,1,1,1
5459881,2008,1,8,7,1,50,2008-01-08 07:01:50.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2019064,0,1,1,1,1
5459882,2008,1,8,7,1,38,2008-01-08 07:01:38.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2019064,0,1,1,1,1
5463467,2008,1,8,8,1,48,2008-01-08 08:01:48.000,2052,12825,,DR6,BestDR6,casjobs,0.046,0,1,2019919,0,1,1,1,1
5463468,2008,2,14,8,2,26,2008-02-14 08:02:26.000,2052,12825,,DR6,BestDR6,casjobs,0.013,0,1,2019919,0,1,1,1,1
5480063,2008,4,4,10,4,44,2008-04-04 10:04:44.000,2052,12825,,DR6,BestDR6,casjobs,7.5999998E-2,0,0,2283297,0,1,1,1,1
5492232,2008,1,8,5,1,21,2008-01-08 05:01:21.000,2052,12825,,SQL001DBHost,MYDB,casjobs,1.6000001E-2,0,99999999,1866370,1,1,1,1,1
5499403,2008,1,8,7,1,53,2008-01-08 07:01:53.000,2052,12825,,SQL001DBHost,MYDB,casjobs,0.046,0,0,2272609,0,1,1,1,1
5537921,2008,2,14,9,2,55,2008-02-14 09:02:55.000,2052,12825,,DR6,BestDR6,casjobs,7.9999998E-2,0,1,2310908,0,1,1,1,1
5537922,2008,2,14,9,2,39,2008-02-14 09:02:39.000,2052,12825,,DR6,BestDR6,casjobs,0.153,0,1,2310908,0,1,1,1,1
5537923,2008,2,14,8,2,20,2008-02-14 08:02:20.000,2052,12825,,DR6,BestDR6,casjobs,0.033,0,1,2310908,0,1,1,1,1
5542159,2008,4,4,10,4,42,2008-04-04 10:04:42.000,2052,12825,,DR6,BestDR6,casjobs,0.153,0,0,2312991,0,1,1,1,1
5543191,2008,1,8,7,1,38,2008-01-08 07:01:38.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2313397,0,1,1,1,1
5543192,2008,1,8,7,1,26,2008-01-08 07:01:26.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2313397,0,1,1,1,1
5543193,2008,1,8,7,1,50,2008-01-08 07:01:50.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2313397,0,1,1,1,1
5543194,2008,1,8,7,1,16,2008-01-08 07:01:16.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0.033,0,1,2313397,0,1,1,1,1
5543217,2008,1,8,7,1,14,2008-01-08 07:01:14.000,2052,12825,,SQL001DBHost,MyDB,casjobs,0,0,1,2313403,0,1,1,1,1
5543218,2008,1,8,7,1,11,2008-01-08 07:01:11.000,2052,12825,,SQL001DBHost,MyDB,casjobs,9.3000002E-2,0,1,2313403,0,1,1,1,1
5543260,2008,1,8,7,1,57,2008-01-08 07:01:57.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2313403,0,1,1,1,1
5543261,2008,1,8,7,1,56,2008-01-08 07:01:56.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2313403,0,1,1,1,1
5543262,2008,1,8,7,1,32,2008-01-08 07:01:32.000,2052,12825,,SQL001DBHost,MyDB,casjobs,2.9999999E-2,0,1,2313403,0,1,1,1,1
