from_#upload,from_#x,from_p,from_photoprimary,from_phototag,from_specphotoall,from_u,from_x,orderby_x.up_id,select_'</a>',select_'<a,select_'>'+,select_+,select_100,select_as,select_cast(x.objid,select_dbo.fphototypen(p.type),select_dec,select_href=http://cas.sdss.org/astrodr6/en/tools/explore/obj.asp?id=',select_name,select_objid,select_p.dec,select_p.modelmag_g,select_p.modelmag_i,select_p.modelmag_r,select_p.modelmag_u,select_p.modelmag_z,select_p.modelmagerr_g,select_p.modelmagerr_i,select_p.modelmagerr_r,select_p.modelmagerr_u,select_p.modelmagerr_z,select_p.ra,select_p.z,select_p.zerr,select_photo,select_ra,select_target=info,select_top,select_type,select_u.up_name,select_varchar(20)),where_15,where_15.1,where_185,where_185.1,where_<,where_=,where_>,where_and,where_dec,where_ra,where_u.up_id,where_x.objid=p.objid,where_x.up_id
1
0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,2,2,2,4,0,4,6,4,4,0,0,0
100000
3,3,3,0,1,2,3,3,3,3,3,3,9,0,15,6,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,3,0,3,3,6,0,0,0,0,0,3,0,3,0,0,3,3,3
